x;y;dy
1;-108.51;0.03
1.5;-93.115;0.975
1.7;-81.95;0.48
2;-65.91;0.63
2.27;-59.36;0.42
2.4;-58.265;0.165
2.5;-55.955;0.575
2.7;-53.53;0.82
3;-51.205;0.375
3.5;-47.815;0.775
4;-45.415;0.745
4.5;-43.365;0.415
5;-42.08;0.45
5.5;-41.295;0.165
6;-40.425;0.195
