x;y;dy
1;-25.47;0.06
1.5;-21.995;0.115
2;-15.785;0.075
2.27;-14.495;0.475
2.4;-13.515;0.075
2.5;-12.97;0.282842712
2.7;-12.765;0.215
3;-12.19;0.06
3.5;-11.61;0.14
4;-10.775;0.215
4.5;-10.3005;0.4995
5;-10.0265;0.3735
5.5;-10.1115;0.1185
5.7;-10.081;0.559
6;-10.038;0.052
