x;y;dy
1;-53.485;0.510
1.5;-47.795;0.03
2;-32.645;0.770
2.27;-29.415;0.27
2.4;-28.14;0.2
2.5;-27.85;0.76
2.7;-27.005;0.11
3;-24.83;1
3.5;-23.965;0.87
4;-22.18;0.72
4.5;-20.96;0.34
5;-21;1.78
5.5;-20.21;0.88
5.7;-20.59;0.52
6;-20.04;0.38
