x;y;dy
1;-25.47;0.12
1.5;-21.995;0.230
2;-15.785;0.150
2.27;-14.495;0.950
2.4;-13.515;0.150
2.5;-12.97;0.5657
2.7;-12.765;0.430
3;-12.19;0.12
3.5;-11.61;0.28
4;-10.775;0.430
4.5;-10.3005;0.999
5;-10.0265;0.747
5.5;-10.1115;0.237
5.7;-10.081;1.118
6;-10.038;0.104
