x;y;dy
1;-108.51;0.06
1.5;-93.115;1.95
1.7;-81.95;0.96
2;-65.91;1.26
2.27;-59.36;0.84
2.4;-58.265;0.33
2.5;-55.955;1.15
2.7;-53.53;1.64
3;-51.205;0.75
3.5;-47.815;1.55
4;-45.415;1.49
4.5;-43.365;0.83
5;-42.08;0.9
5.5;-41.295;0.33
6;-40.425;0.39
