x;y;dy
1;-53.485;0.255
1.5;-47.795;0.015
2;-32.645;0.385
2.27;-29.415;0.135
2.4;-28.14;0.1
2.5;-27.85;0.38
2.7;-27.005;0.055
3;-24.83;0.5
3.5;-23.965;0.435
4;-22.18;0.36
4.5;-20.96;0.17
5;-21;0.89
5.5;-20.21;0.44
5.7;-20.59;0.26
6;-20.04;0.19
