-148852020121.900877, -14952108655.057245
-95945494266.430669, 9082728192.410529
-42081868229.815343, 2630928453.744122
0.000000, 0.000000
78725713153.569364, -2863394078.569223
629420355440.449696, -8389850088.180207
1280139744695.655125, -10086899357.961721
2722145943300.432619, -11532905836.355437
4346147149407.075444, -12225783940.585760
5757147498587.405817, -12572222992.700921

-146615594787.947187, -29754701270.975306
-107729596683.818202, 14214030525.187883
-44096550638.682457, 4946738256.969084
0.000000, 0.000000
79996238014.124396, -5611466372.060054
631573909432.047308, -16630650212.348065
1282351464583.845794, -20024338301.176072
2724376258904.536408, -22916300455.655839
4348381083328.309295, -24302052843.708599
5759382480049.375926, -24994930331.512158

-142913188658.670538, -44259775476.041393
-124485377667.098412, 12363624203.752507
-47352339154.498576, 6643700331.860760
0.000000, 0.000000
82091806640.635625, -8130316009.317857
635138203225.744887, -24574864042.791480
1286012695308.727515, -29664370081.864801
2728068482161.227320, -34002186308.275084
4352079337104.223276, -36080805339.333370
5763082479725.667633, -37120120029.971030

-137781983702.024134, -58322341002.144410
-142734401367.776309, 1976875662.895194
-51699872515.012940, 7440452826.880948
0.000000, 0.000000
84979723706.938359, -10308868864.552491
640076064705.139291, -32077967287.059328
1291086255410.096993, -38862060054.929193
2733185431118.294080, -44645577948.193239
4357204728768.618854, -47417052161.029259
5768210315648.808892, -48802802205.217723

-131273495085.800453, -71801886769.570340
-158857387356.816755, -16942594887.203832
-56937214729.255942, 7088178049.517556
0.000000, 0.000000
88614738885.451312, -12040252385.189617
646335992492.809998, -38999914741.418690
1297520630430.892787, -47476952762.269044
2739675590629.975339, -54705969117.793092
4363705743156.158433, -58170283230.766266
5774714472651.680162, -59902466162.791168

-123453040654.963413, -84563800475.929597
-169679315548.487569, -43077873546.290649
-62816673838.855049, 5379632584.532393
0.000000, 0.000000
92939561091.776374, -13223123506.419801
653852686471.418900, -45206559846.332522
1305250503439.763767, -55374491521.221904
2747473642879.621419, -64048752336.787748
4371517062425.031847, -68205887247.843442
5782529632890.181695, -70284499985.556803

-114399069746.651895, -96480725398.513645
-172808913715.506316, -74164590109.707300
-69053091307.300207, 2156741047.384762
0.000000, 0.000000
97885508883.831683, -13762934603.900079
662547718966.871699, -50571011455.282504
1314197426215.953996, -62427375226.421352
2756501138564.684277, -72546575704.576723
4380560237241.951404, -77396508491.246232
5791577347028.229406, -79821547336.063540

-104202358623.854966, -107433840184.602189
-166796223153.218293, -107343786489.485727
-75333286376.099453, -2683468902.478682
0.000000, 0.000000
103373289766.041217, -13573123493.603649
672330339312.570563, -54974913591.485323
1324270623815.506711, -68516838139.597031
2766667301463.035603, -80080622690.551935
4390744491348.475195, -85623326609.954239
5801766838804.079058, -88394787246.851232

-92965081385.107189, -117314048469.661540
-151197560877.876255, -139462363006.683288
-81326312548.369337, -9184739413.452249
0.000000, 0.000000
109313899571.541800, -12576214541.801554
683098402937.425419, -58309635032.467260
1335367923661.440800, -73533839507.258151
2777869957523.264835, -86541801752.294292
4401967650651.310334, -92777246241.140020
5812995934120.630340, -95895123738.649261

-80799766620.120965, -126023066283.652856
-126608692207.678495, -167343370513.498404
-86694174329.778406, -17329338332.190765
0.000000, 0.000000
115609631690.732933, -10704819059.380601
694739414707.713504, -60477356682.737282
1347376798887.984208, -77380150966.479982
2789996578209.040276, -91831833741.879633
4414117186566.679198, -98759984416.477652
5825152104389.793946, -102224273226.684962

-67828151290.400179, -133474396432.099096
-94681086982.043213, -188074376410.906545
-91102659760.065638, -27037703467.906677
0.000000, 0.000000
122155184717.113787, -7902524375.667710
707131675043.742786, -61392045921.224881
1360175514459.821271, -79969330925.442850
2802925426618.489175, -95864226286.942909
4427071362139.704451, -103485044943.209889
5838113612651.877376, -107295738901.750696

-54179944329.664624, -139594180373.969845
-58085759787.616868, -199358780999.711925
-94231965358.476874, -38169918558.396029
0.000000, 0.000000
128838856077.901762, -4124662319.435963
720145516316.486580, -60980308445.553971
1373634363571.525767, -81227576440.783398
2816526793883.767475, -98565125668.559837
4440700468443.983397, -106878570282.033115
5851750749975.160019, -111035662608.088778

-39991513291.481031, -144321919542.942884
-20341460628.546977, -199937253091.286985
-95786821427.364358, -50528912532.413209
0.000000, 0.000000
135543808396.044716, 661050742.368418
733644616196.791587, -59182109559.718648
1387616980999.785324, -81094444538.317584
2830664312523.423557, -99874038142.504964
4454868137933.955884, -108880062868.358950
5865927148808.261678, -113383546164.653103

-25404508025.412533, -147611059547.122007
14595634207.178966, -190003667190.089797
-95505863493.452640, -63865233355.932024
0.000000, 0.000000
142149394687.163949, 6474008670.385589
747487373975.850982, -55951358340.244851
1401981719427.106850, -79523436412.215995
2845196332766.244291, -99744414138.965859
4469432720768.753953, -109442969312.032096
5880501159303.992752, -114292835564.827017

-10564435840.804883, -149429432210.355335
43022141112.034091, -171431036081.319455
-93170036460.197247, -77883218838.079738
0.000000, 0.000000
148532528027.344798, 13320349958.681666
761528335397.832141, -51256349643.991429
1416583074277.885198, -76482439465.777673
2859977347387.465011, -98144090303.857867
4484248709648.414891, -108535122438.648690
5895327274155.567718, -113731363017.741695

4380797077.767132, -149759551963.242553
62323967854.236000, -147580518756.840762
-88609858731.588979, -92248368252.457428
0.000000, 0.000000
154569081032.625865, 21192735073.399344
775619651240.634270, -45080060465.702274
1431273142302.809609, -71954023701.893698
2874859450293.319696, -95055585889.828118
4499168198398.434180, -106139037680.563650
5910257587181.158452, -111681643339.283467

19282363102.408982, -148598764633.030033
71631123206.151253, -122613304000.171973
-81711411788.885895, -106595708796.598680
