x;y;dy
1;-124.6;0.2
1.5;-121.3;0.4
2;-107.95;0.15
2.27;-89.945;0.245
2.5;-71.43;0.15
2.7;-62.41;0.03
3;-52.93;0.01
3.5;-42.955;0.015
4;-36.44;0.03
4.5;-31.715;0.145
5;-28.12;0.02
5.5;-25.595;0.025
6;-23.165;0.025
6.5;-21.36;0.04
7;-19.84;0.02
