x;y;dy
1;-124.6;0.4
1.5;-121.3;0.8
2;-107.95;0.3
2.27;-89.945;0.49
2.5;-71.43;0.3
2.7;-62.41;0.06
3;-52.93;0.02
3.5;-42.955;0.03
4;-36.44;0.06
4.5;-31.715;0.29
5;-28.12;0.04
5.5;-25.595;0.05
6;-23.165;0.05
6.5;-21.36;0.08
7;-19.84;0.04
