x;y;dy
1;-62.025;0.07
1.5;-60.37;0.02
2;-53.835;0.03
2.27;-45.09;0.1
2.5;-36.34;0.24
2.7;-31.68;0.02
3;-26.98;0.14
3.5;-21.96;0.1
4;-18.655;0.07
4.5;-16.31;0.02
5;-14.505;0.03
5.5;-13.14;0.04
6;-12.015;0.03
6.5;-11.095;0.01
7;-10.305;0.03
