x;y;dy
1;-30.1;0.12
1.5;-29.2;0.04
2;-26.025;0.03
2.27;-22.2;0.08
2.5;-18.8;0.14
2.7;-16.305;0.08
3;-13.835;0.05
3.5;-11.385;0.07
4;-9.6965;0.055
4.5;-8.518;0.024
5;-7.7075;0.015
5.5;-6.934;0.01
6;-6.3835;0.035
6.5;-5.989;0.052
7;-5.574;0.1
