x;y;dy
1;0.282768;0.108640178
1.5;0.6265;0.108350708
2;0.71824;0.048771412
2.27;0.49212;0.045280972
2.5;0.48718;0.009432995
2.7;0.49668;0.009569451
3;0.50172;0.006275301
3.5;0.5036;0.002736238
4;0.4965;0.001878297
4.5;0.50106;0.003369955
5;0.499466667;0.003441092
5.5;0.5036;0.001819341
6;0.503666667;0.002935605
6.5;0.491933333;0.005121957
7;0.5023;0.003536005
