x;y;dy
1;-30.1;0.06
1.5;-29.2;0.02
2;-26.025;0.015
2.27;-22.2;0.04
2.5;-18.8;0.07
2.7;-16.305;0.04
3;-13.835;0.025
3.5;-11.385;0.035
4;-9.6965;0.0275
4.5;-8.518;0.012
5;-7.7075;0.0075
5.5;-6.934;0.005
6;-6.3835;0.0175
6.5;-5.989;0.026
7;-5.574;0.05
