x;y;dy
1;4572;64
1.5;4303;172
2;3161.5;57
2.27;2282;84
2.4;1753;50
2.5;1364.5;121
2.7;981.1;84.56997102
3;718.55;15.5
3.5;531.8;5.4
4;515.8;14
4.5;446.55;3.7
5;443.75;24.9
5.5;427;13
5.7;405.55;43.9
6;391.3;10.8
6.5;378.25;15.1
7;375.9;34.2
7.5;373;22.91025972
