x;y;dy
1;35.09;1.36
1.5;31.115;2.545
1.7;27.255;2.495
2;23.15;0.16
2.27;16.785;1.485
2.35;11.734;1.222231293
2.4;9.694;1.576
2.5;6.5285;0.6545
2.7;3.867;0.01
3;3.5305;0.4735
3.5;2.704;0.133
4;2.455;0.045
4.5;2.5125;0.1295
5;2.0765;0.3695
5.5;2.086;0.177
5.7;2.5805;0.1705
6;2.0945;0.3955
