x;y;dy
1;3559.5;226.5
1.5;3560;39
1.7;3519;161
2;2927.5;266.5
2.27;2252.5;199.5
2.4;642.95;36.25
2.5;433.1;24.5
2.7;271.35;1.95
3;191.9;3.1
3.5;138.25;4.55
4;116;1.8
4.5;109.6;4.5
5;97.925;0.735
5.5;97.525;0.905
6;92.315;1.175
