x;y;dy
1;35.09;2.72
1.5;31.115;5.09
1.7;27.255;4.99
2;23.15;0.32
2.27;16.785;2.97
2.35;11.734;2.444462586
2.4;9.694;3.152
2.5;6.5285;1.309
2.7;3.867;0.02
3;3.5305;0.947
3.5;2.704;0.266
4;2.455;0.09
4.5;2.5125;0.259
5;2.0765;0.739
5.5;2.086;0.354
5.7;2.5805;0.341
6;2.0945;0.791
