x;y;dy
1;3559.5;453
1.5;3560;78
1.7;3519;322
2;2927.5;533
2.27;2252.5;399
2.4;642.95;72.5
2.5;433.1;49
2.7;271.35;3.9
3;191.9;6.2
3.5;138.25;9.1
4;116;3.6
4.5;109.6;9
5;97.925;1.47
5.5;97.525;1.81
6;92.315;2.35
