x;y;dy
1;0.953;0.007
2;0.9065;0.0085
3;0.842;0.009
5;0.7445;0.0095
6;0.684;0.005
7;0.6385;0.0035
8;0.5325;0.0035
9;0.147;0.002
10;0.2065;0.0005
15;0.107;0.003
20;0.0545;0.0065
25;0.0015;0.0015
50;0.0005;0.0005
100;0;0
