x;y
360;0.151170
361;0.151170
362;0.151172
363;0.151174
364;0.151175
365;0.151176
366;0.151177
367;0.151180
368;0.151181
369;0.151182
370;0.151184
371;0.151186
372;0.151187
373;0.151189
374;0.151192
375;0.151194
376;0.151195
377;0.151197
378;0.151200
379;0.151203
380;0.151205
381;0.151207
382;0.151210
383;0.151213
384;0.151216
385;0.151218
386;0.151221
387;0.151225
388;0.151227
389;0.151230
390;0.151234
391;0.151238
392;0.151241
393;0.151244
394;0.151249
395;0.151253
396;0.151256
397;0.151260
398;0.151265
399;0.151270
400;0.151273
401;0.151278
402;0.151283
403;0.151288
404;0.151292
405;0.151298
406;0.151304
407;0.151309
408;0.151314
409;0.151320
410;0.151327
411;0.151332
412;0.151338
413;0.151344
414;0.151352
415;0.151358
416;0.151365
417;0.151372
418;0.151379
419;0.151387
420;0.151394
421;0.151402
422;0.151410
423;0.151419
424;0.151427
425;0.151435
426;0.151445
427;0.151454
428;0.151462
429;0.151472
430;0.151483
431;0.151492
432;0.151502
433;0.151513
434;0.151524
435;0.151535
436;0.151545
437;0.151557
438;0.151570
439;0.151581
440;0.151593
441;0.151606
442;0.151620
443;0.151632
444;0.151645
445;0.151660
446;0.151674
447;0.151688
448;0.151702
449;0.151718
450;0.151734
451;0.151749
452;0.151765
453;0.151782
454;0.151799
455;0.151816
456;0.151834
457;0.151852
458;0.151870
459;0.151889
460;0.151908
461;0.151928
462;0.151948
463;0.151968
464;0.151989
465;0.152010
466;0.152032
467;0.152054
468;0.152076
469;0.152100
470;0.152124
471;0.152147
472;0.152172
473;0.152197
474;0.152223
475;0.152248
476;0.152275
477;0.152303
478;0.152330
479;0.152357
480;0.152386
481;0.152417
482;0.152446
483;0.152476
484;0.152507
485;0.152539
486;0.152571
487;0.152603
488;0.152637
489;0.152672
490;0.152706
491;0.152740
492;0.152777
493;0.152814
494;0.152851
495;0.152888
496;0.152927
497;0.152967
498;0.153006
499;0.153047
500;0.153089
501;0.153131
502;0.153174
503;0.153217
504;0.153262
505;0.153307
506;0.153352
507;0.153399
508;0.153447
509;0.153495
510;0.153544
511;0.153593
512;0.153644
513;0.153696
514;0.153748
515;0.153800
516;0.153855
517;0.153910
518;0.153965
519;0.154021
520;0.154079
521;0.154138
522;0.154197
523;0.154256
524;0.154318
525;0.154380
526;0.154442
527;0.154506
528;0.154571
529;0.154637
530;0.154702
531;0.154770
532;0.154839
533;0.154908
534;0.154978
535;0.155049
536;0.155122
537;0.155195
538;0.155269
539;0.155345
540;0.155421
541;0.155498
542;0.155576
543;0.155656
544;0.155736
545;0.155817
546;0.155899
547;0.155983
548;0.156068
549;0.156153
550;0.156239
551;0.156326
552;0.156415
553;0.156505
554;0.156595
555;0.156686
556;0.156780
557;0.156873
558;0.156967
559;0.157063
560;0.157161
561;0.157258
562;0.157356
563;0.157457
564;0.157558
565;0.157660
566;0.157762
567;0.157867
568;0.157973
569;0.158078
570;0.158184
571;0.158293
572;0.158403
573;0.158512
574;0.158623
575;0.158736
576;0.158850
577;0.158963
578;0.159078
579;0.159195
580;0.159312
581;0.159429
582;0.159549
583;0.159669
584;0.159790
585;0.159911
586;0.160034
587;0.160159
588;0.160283
589;0.160408
590;0.160535
591;0.160662
